Mobile Name,RAM GB,ROM GB,Ratings,Reviews,Stars,List Price,Sales Price
"ADCOM A115 Voice Changer Phone, Dual SIM",32 MB,32 MB,34,1,3.2,1358,899
"Alcatel 5V (Spectrum Black, 32 GB)",3 GB,32 GB,169,37,4.3,,6999
ANGAGE A310,64 MB,64 MB,119,11,3.4,,669
ANGAGE A312,64 MB,64 MB,54,2,3.4,,699
"APPLE iPhone 11 (Black, 128 GB)",4 GB,128 GB,36457,2831,4.6,1950,53999
"APPLE iPhone 11 (Black, 64 GB)",4 GB,64 GB,36457,2831,4.6,54900,46999
"Apple iPhone 11 (Black, 64 GB) (Includes EarPods, Power Adapter)",4 GB,64 GB,36457,2831,4.6,789,46999
"APPLE iPhone 11 (Green, 64 GB)",4 GB,64 GB,36457,2831,4.6,54900,46999
"Apple iPhone 11 (Purple, 128 GB) (Includes EarPods, Power Adapter)",4 GB,128 GB,36305,2815,4.6,1499,53999
"APPLE iPhone 11 (Purple, 64 GB)",4 GB,64 GB,36457,2831,4.6,54900,46999
"APPLE iPhone 11 (Red, 128 GB)",4 GB,128 GB,36457,2831,4.3,,53999
"APPLE iPhone 11 (Red, 64 GB)",4 GB,64 GB,36457,2831,4.6,54900,46999
"APPLE iPhone 11 (White, 128 GB)",4 GB,128 GB,9760,961,4.2,20990,53999
"APPLE iPhone 11 (White, 64 GB)",4 GB,64 GB,36305,2815,4.6,54900,46999
"APPLE iPhone 11 (Yellow, 64 GB)",4 GB,64 GB,2784,194,4,9999,46999
"APPLE iPhone 11 Pro (Midnight Green, 64 GB)",4 GB,64 GB,6992,514,4.6,1049,79999
"APPLE iPhone 12 (Black, 128 GB)",4 GB,128 GB,1894,169,4.7,769,84900
"APPLE iPhone 12 (Blue, 128 GB)",4 GB,128 GB,1894,169,4.7,990,84900
"APPLE iPhone 12 (Green, 128 GB)",4 GB,128 GB,1892,169,4.5,,84900
"APPLE iPhone 12 (White, 128 GB)",4 GB,128 GB,1891,169,4.7,47900,84900
"APPLE iPhone 12 (White, 256 GB)",4 GB,256 GB,1894,169,4.7,9999,94900
"APPLE iPhone 12 (White, 256 GB)",4 GB,256 GB,1891,169,4.7,,94900
"APPLE iPhone 12 (White, 64 GB)",4 GB,64 GB,1891,169,4.7,34999,79900
"APPLE iPhone 12 Pro (Gold, 128 GB)",4 GB,128 GB,514,40,4.5,10257,119900
"APPLE iPhone 12 Pro Max (Pacific Blue, 512 GB)",4 GB,512 GB,551,44,4.6,20999,159900
"Apple iPhone 7 Plus (Black, 32 GB)",3 GB,64 GB,27442,2853,4.5,37900,34999
"Apple iPhone SE (Black, 128 GB)",2 GB,64 GB,12954,1298,4.5,47800,45999
"Apple iPhone SE (Black, 64 GB)",2 GB,32 GB,12954,1298,4.5,42500,40999
"APPLE iPhone SE (Black, 64 GB)",2 GB,64 GB,93164,7966,4.5,39900,29999
"Apple iPhone SE (Black, 64 GB) (Includes EarPods, Power Adapter)",2 GB,64 GB,93164,7966,4.5,39900,29999
"Apple iPhone SE (Red, 64 GB)",2 GB,128 GB,12954,1298,4.5,42500,40999
"Apple iPhone SE (Red, 64 GB) (Includes EarPods, Power Adapter)",2 GB,64 GB,93164,7966,4.5,2790,29999
"APPLE iPhone SE (White, 128 GB)",2 GB,128 GB,93231,7967,4.5,,34999
"Apple iPhone SE (White, 128 GB) (Includes EarPods, Power Adapter)",2 GB,128 GB,93231,7967,4.5,39900,34999
"Apple iPhone SE (White, 256 GB) (Includes EarPods, Power Adapter)",2 GB,256 GB,93231,7967,4.5,,44999
"APPLE iPhone SE (White, 64 GB)",2 GB,64 GB,93231,7967,4.5,,29999
"Apple iPhone SE (White, 64 GB)",2 GB,64 GB,12954,1298,4.5,42500,40999
"Apple iPhone XR ((PRODUCT)RED, 64 GB)",3 GB,64 GB,11572,975,4.6,52500,46999
"Apple iPhone XR (Black, 128 GB) (Includes EarPods, Power Adapter)",3 GB,128 GB,14480,1414,4.2,1119,43999
"Apple iPhone XR (Black, 64 GB)",3 GB,32 GB,11572,975,4.6,52500,46999
"Apple iPhone XR (Black, 64 GB) (Includes EarPods, Power Adapter)",3 GB,64 GB,77597,6641,4.6,47900,38999
"Apple iPhone XR (Blue, 64 GB)",3 GB,128 GB,11572,975,4.6,52500,46999
"Apple iPhone XR (Blue, 64 GB)",3 GB,64 GB,11572,975,4.6,52500,46999
"Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)",3 GB,64 GB,77597,6641,4.6,,38999
"Apple iPhone XR (Coral, 64 GB) (Includes EarPods, Power Adapter)",3 GB,64 GB,77544,6632,4.6,1198,38999
"Apple iPhone XR (White, 128 GB)",3 GB,64 GB,11572,975,4.6,57800,52999
"Apple iPhone XR (White, 128 GB) (Includes EarPods, Power Adapter)",3 GB,128 GB,77544,6632,4.6,8999,43999
"Apple iPhone XR (White, 64 GB)",3 GB,64 GB,11572,975,4.6,52500,46999
BlackBear A1 Pen Phone,64 MB,32 MB,168,8,3.8,779,1899
BlackBear i7 Trio,24 MB,24 MB,122,10,3.9,,1699
BlackZone B310,10 MB,10 MB,1494,115,3.9,849,779
BlackZone B310,10 MB,10 MB,1494,115,3.9,849,779
BlackZone B310,10 MB,10 MB,1494,115,3.9,849,779
BlackZone ECO X,32 MB,32 MB,3692,261,4,679,1470
BlackZone ECO X,32 MB,32 MB,3686,261,4,,1470
BlackZone ECO X,32 MB,32 MB,3686,261,4,,1470
BlackZone ECO X,32 MB,32 MB,3692,261,4,,1470
BlackZone ECO X,32 MB,32 MB,3692,261,4,,1470
BlackZone ECO X,64 MB,64 MB,466,44,3.8,,1470
BlackZone Hammer,64 MB,64 MB,66,13,3.2,19999,619
BlackZone PORSCHE 911,64 MB,64 MB,392,22,4.3,29999,1350
BlackZone PORSCHE 911,64 MB,64 MB,168,8,3.8,35999,1350
BlackZone S13,32 MB,32 MB,35,3,4.3,18699,1029
BlackZone S13,32 MB,32 MB,35,3,4.3,2499,1029
BlackZone Shine,10 MB,10 MB,707,58,3.8,20999,599
BlackZone TURBO 353,64 MB,64 MB,187,14,4,34990,849
BlackZone TURBO 353,64 MB,64 MB,188,14,4,13999,849
BlackZone TURBO 353,64 MB,64 MB,187,14,4,789,849
BlackZone TURBO 353,64 MB,64 MB,188,14,4,,849
"Coolpad Mega 5S (Gold, 64 GB)",4 GB,64 GB,192,11,3.4,1187,6499
DETEL D1 Guru,32 MB,32 MB,7580,739,3.6,775,765
DETEL D1 Guru,32 MB,32 MB,7580,739,3.6,,760
Easyfone Marvel,32 MB,32 MB,80,10,4.1,,2699
Forme Duos N2,32 MB,32 MB,104,10,3.8,1049,699
Forme Duos1900,32 MB,32 MB,115,21,4,,1099
Forme N1,32 MB,32 MB,10354,1644,3.6,47900,740
Forme N1,32 MB,32 MB,10354,1644,3.6,17999,539
Forme Rocket,12 MB,15 MB,159,20,3.9,,799
Geotel K9 Flip,32 MB,32 MB,3,0,3.7,21990,1349
Geotel K9 Flip,32 MB,32 MB,3,0,3.7,19990,1349
Geotel K9 Flip,32 MB,32 MB,3,0,3.7,18298,1349
Geotel K9 Flip,32 MB,32 MB,3,0,3.7,8999,1349
GFive A1,32 MB,32 MB,209,18,3.7,1099,659
GFive A1,32 MB,32 MB,209,18,3.7,1299,645
GFive A1 & A2 Combo of Two Mobiles,32 MB,32 MB,50,2,3.7,26405,1379
GFive A1 & A2 Combo of Two Mobiles,32 MB,32 MB,50,2,3.7,29999,1259
GFive A2,32 MB,32 MB,31000,2519,4.4,,659
GFive A2,32 MB,32 MB,914,77,3.8,16200,659
GFive A2 & U873 Combo of Two Mobiles,32 MB,32 MB,43145,5224,4.5,,1257
GFive A2 Combo of Two,32 MB,32 MB,313,30,3.7,,1259
GFive A2 Combo of Two,32 MB,32 MB,313,30,3.7,,1259
GFive A2 Combo of Two,32 MB,32 MB,313,30,3.7,,1239
GFive i1,32 MB,32 MB,20,9,4,,749
GFive i1,32 MB,32 MB,22,9,3.8,,749
GFive i2,32 MB,32 MB,23474,1899,4.4,999,749
GFive U106,32 MB,64 MB,363,28,3.7,,643
GFive U220 Combo of Two,32 MB,32 MB,329,18,3.8,1149,1139
GFive U220+,32 MB,32 MB,3080,393,3.5,5999,650
GFive U229,32 MB,32 MB,2540,338,3.7,,655
GFive U707,32 MB,64 MB,5037,544,3.6,13999,625
"GIONEE F11 (Blue, 32 GB)",3 GB,32 GB,43,1,3.7,14999,6799
"GIONEE F8 Neo (Black, 32 GB)",2 GB,32 GB,431,37,3.9,13461,5099
"GIONEE F8 Neo (Blue, 32 GB)",2 GB,32 GB,431,37,3.9,,5099
"GIONEE Max (Black, 32 GB)",2 GB,32 GB,46307,4552,4.1,7990,5499
"GIONEE Max (Red, 32 GB)",2 GB,32 GB,46077,4530,4.1,7990,5499
"GIONEE Max (Royal Blue, 32 GB)",2 GB,32 GB,46077,4530,4.1,7990,5499
"GIONEE Max Pro (Blue, 32 GB)",3 GB,32 GB,1332,77,4.4,,6999
Good One 5605,32 MB,32 MB,49,9,3.9,13780,799
Good One G2 MINI,64 MB,64 MB,8,1,4.1,,1399
Good One Magic,32 MB,32 MB,2037,175,4,1699,1499
